annotation;enumeration_value
Куйбышевское, Калужская область, Земли лесного фонда;40:10
Людиновское, Калужская область, Земли лесного фонда;40:11
Малоярославецкое, Калужская область, Земли лесного фонда;40:12
Медынское, Калужская область, Земли лесного фонда;40:13
Мещовское, Калужская область, Земли лесного фонда;40:14
Спас-Деменское, Калужская область, Земли лесного фонда;40:15
Ульяновское, Калужская область, Земли лесного фонда;40:16
Ферзиковское, Калужская область, Земли лесного фонда;40:17
Юхновское, Калужская область, Земли лесного фонда;40:18
ГПЗ Калужские Засеки, Калужская область, Земли особо охраняемых природных территорий;40:19
Дзержинское, Калужская область, Земли лесного фонда;40:2
НП Угра, Калужская область, Земли особо охраняемых природных территорий;40:20
Бабынинский, Калужская область, Земли населенных пунктов;40:22
Барятинский, Калужская область, Земли населенных пунктов;40:23
Боровский, Калужская область, Земли населенных пунктов;40:24
г. Калуга, Калужская область, Земли населенных пунктов;40:25
Городской бор, Калужская область, Земли населенных пунктов;40:26
Леса городского поселения «Город Киров», Калужская область, Земли населенных пунктов;40:27
г. Людиново, Калужская область, Земли населенных пунктов;40:28
г. Обнинск, Калужская область, Земли населенных пунктов;40:29
Думиничское, Калужская область, Земли лесного фонда;40:3
Дзержинский, Калужская область, Земли населенных пунктов;40:30
Думиничский, Калужская область, Земли населенных пунктов;40:31
Жиздринский, Калужская область, Земли населенных пунктов;40:32
Жуковский, Калужская область, Земли населенных пунктов;40:33
Износковский, Калужская область, Земли населенных пунктов;40:34
Кировский, Калужская область, Земли населенных пунктов;40:35
Козельский, Калужская область, Земли населенных пунктов;40:36
Куйбышевский, Калужская область, Земли населенных пунктов;40:37
Людиновский, Калужская область, Земли населенных пунктов;40:38
Малоярославецкий, Калужская область, Земли населенных пунктов;40:39
Еленское, Калужская область, Земли лесного фонда;40:4
Медынский, Калужская область, Земли населенных пунктов;40:40
Мещовский, Калужская область, Земли населенных пунктов;40:41
Мосальский, Калужская область, Земли населенных пунктов;40:42
Перемышльский, Калужская область, Земли населенных пунктов;40:43
Пригородная зона г.Калуга, Калужская область, Земли населенных пунктов;40:44
Спас-Деменский, Калужская область, Земли населенных пунктов;40:45
Сухиничский, Калужская область, Земли населенных пунктов;40:46
"Государственный комплекс ""Таруса"", Калужская область, Земли населенных пунктов";40:47
Ульяновский, Калужская область, Земли населенных пунктов;40:48
Ферзиковский, Калужская область, Земли населенных пунктов;40:49
Жиздринское, Калужская область, Земли лесного фонда;40:5
Хвастовичский, Калужская область, Земли населенных пунктов;40:50
Юхновский, Калужская область, Земли населенных пунктов;40:51
Барсуковское лесничество ФСО России, Калужская область, Земли особо охраняемых природных территорий;40:52
Жуковское, Калужская область, Земли лесного фонда;40:6
Износковское, Калужская область, Земли лесного фонда;40:7
Калужское, Калужская область, Земли лесного фонда;40:8
Козельское, Калужская область, Земли лесного фонда;40:9
Атласовское, Камчатский край, Земли лесного фонда;41:1
ГПЗ Корякский, Камчатский край, Земли особо охраняемых природных территорий;41:10
Камчатское, Камчатский край, Земли обороны и безопасности;41:11
Алеутский район, Камчатский край, Земли населенных пунктов;41:12
Быстринский район, Камчатский край, Земли населенных пунктов;41:13
г. Петропавловск-Камчатский, Камчатский край, Земли населенных пунктов;41:14
Елизовский район, Камчатский край, Земли населенных пунктов;41:15
ЗАТО г. Вилючинск, Камчатский край, Земли населенных пунктов;41:16
Карагинский район, Камчатский край, Земли населенных пунктов;41:17
Мильковский район, Камчатский край, Земли населенных пунктов;41:18
Олюторский район, Камчатский край, Земли населенных пунктов;41:19
Быстринское, Камчатский край, Земли лесного фонда;41:2
Пенжинский район, Камчатский край, Земли населенных пунктов;41:20
Соболевский район, Камчатский край, Земли населенных пунктов;41:21
Тигильский район, Камчатский край, Земли населенных пунктов;41:22
Усть-Большерецкий район, Камчатский край, Земли населенных пунктов;41:23
Усть-Камчатский район, Камчатский край, Земли населенных пунктов;41:24
Елизовское, Камчатский край, Земли лесного фонда;41:3
Ключевское, Камчатский край, Земли лесного фонда;41:4
Корякское, Камчатский край, Земли лесного фонда;41:5
Мильковское, Камчатский край, Земли лесного фонда;41:6
Усть-Большерецкое, Камчатский край, Земли лесного фонда;41:7
ГПБЗ Командорский, Камчатский край, Земли особо охраняемых природных территорий;41:8
ГПБЗ Кроноцкий, Камчатский край, Земли особо охраняемых природных территорий;41:9
Беловское, Кемеровская область, Земли лесного фонда;42:1
Новокузнецкое, Кемеровская область, Земли лесного фонда;42:10
Прокопьевское, Кемеровская область, Земли лесного фонда;42:11
Промышленновское, Кемеровская область, Земли лесного фонда;42:12
Таштагольское, Кемеровская область, Земли лесного фонда;42:13
Тисульское, Кемеровская область, Земли лесного фонда;42:14
Тяжинское, Кемеровская область, Земли лесного фонда;42:15
Чебулинское, Кемеровская область, Земли лесного фонда;42:16
Юргинское, Кемеровская область, Земли лесного фонда;42:17
Яйское, Кемеровская область, Земли лесного фонда;42:18
Яшкинское, Кемеровская область, Земли лесного фонда;42:19
Гурьевское, Кемеровская область, Земли лесного фонда;42:2
ГПЗ Кузнецкий Алатау, Кемеровская область, Земли особо охраняемых природных территорий;42:20
НП Шорский, Кемеровская область, Земли особо охраняемых природных территорий;42:21
"""Городские леса г. Междуреченска"", Кемеровская область, Земли населенных пунктов";42:22
Беловский, Кемеровская область, Земли населенных пунктов;42:23
г. Мариинск, Кемеровская область, Земли населенных пунктов;42:24
г. Салаир, Кемеровская область, Земли населенных пунктов;42:25
Городские леса Тайгинского городского округа, Кемеровская область, Земли населенных пунктов;42:26
г.Анжеро-Суджинск, Кемеровская область, Земли населенных пунктов;42:27
г.Белово, Кемеровская область, Земли населенных пунктов;42:28
г.Березовский, Кемеровская область, Земли населенных пунктов;42:29
Ижморское, Кемеровская область, Земли лесного фонда;42:3
г.Гурьевск, Кемеровская область, Земли населенных пунктов;42:30
г.Кемерово, Кемеровская область, Земли населенных пунктов;42:31
г.Киселевск, Кемеровская область, Земли населенных пунктов;42:32
г.Ленинск-Кузнецкий, Кемеровская область, Земли населенных пунктов;42:33
г.Новокузнецк, Кемеровская область, Земли населенных пунктов;42:34
г.Осинники, Кемеровская область, Земли населенных пунктов;42:35
г.Прокопьевск, Кемеровская область, Земли населенных пунктов;42:36
г.Топки, Кемеровская область, Земли населенных пунктов;42:37
г.Юрга, Кемеровская область, Земли населенных пунктов;42:38
Гурьевский, Кемеровская область, Земли населенных пунктов;42:39
Кемеровское, Кемеровская область, Земли лесного фонда;42:4
Ижморский, Кемеровская область, Земли населенных пунктов;42:40
Кемеровский, Кемеровская область, Земли населенных пунктов;42:41
Крапивинский, Кемеровская область, Земли населенных пунктов;42:42
Ленинск-Кузнецкий, Кемеровская область, Земли населенных пунктов;42:43
Мариинский, Кемеровская область, Земли населенных пунктов;42:44
Новокузнецкий, Кемеровская область, Земли населенных пунктов;42:45
пгт. Яйский, Кемеровская область, Земли населенных пунктов;42:46
пгт. Яшкино, Кемеровская область, Земли населенных пунктов;42:47
Прокопьевский, Кемеровская область, Земли населенных пунктов;42:48
Промышленновский, Кемеровская область, Земли населенных пунктов;42:49
Крапивинское, Кемеровская область, Земли лесного фонда;42:5
Таштагольский, Кемеровская область, Земли населенных пунктов;42:50
Тисульский, Кемеровская область, Земли населенных пунктов;42:51
Топкинский, Кемеровская область, Земли населенных пунктов;42:52
Тяжинский, Кемеровская область, Земли населенных пунктов;42:53
Чебулинский, Кемеровская область, Земли населенных пунктов;42:54
Юргинский, Кемеровская область, Земли населенных пунктов;42:55
Яйский, Кемеровская область, Земли населенных пунктов;42:56
Яшкинский, Кемеровская область, Земли населенных пунктов;42:57
Кузедеевское, Кемеровская область, Земли лесного фонда;42:6
Мариинское, Кемеровская область, Земли лесного фонда;42:7
Междуреченское, Кемеровская область, Земли лесного фонда;42:8
Мысковское, Кемеровская область, Земли лесного фонда;42:9
Афанасьевское, Кировская область, Земли лесного фонда;43:1
Кильмезское, Кировская область, Земли лесного фонда;43:10
Кирово-Чепецкое, Кировская область, Земли лесного фонда;43:11
Кирсинское, Кировская область, Земли лесного фонда;43:12
Котельничское, Кировская область, Земли лесного фонда;43:13
Куменское, Кировская область, Земли лесного фонда;43:14
Лузское, Кировская область, Земли лесного фонда;43:15
Малмыжское, Кировская область, Земли лесного фонда;43:16
Мурашинское, Кировская область, Земли лесного фонда;43:17
Нагорское, Кировская область, Земли лесного фонда;43:18
Немское, Кировская область, Земли лесного фонда;43:19
Белохолуницкое, Кировская область, Земли лесного фонда;43:2
Нолинское, Кировская область, Земли лесного фонда;43:20
Омутнинское, Кировская область, Земли лесного фонда;43:21
Опаринское, Кировская область, Земли лесного фонда;43:22
Оричевское, Кировская область, Земли лесного фонда;43:23
Орловское, Кировская область, Земли лесного фонда;43:24
Парковое, Кировская область, Земли лесного фонда;43:25
Пинюгское, Кировская область, Земли лесного фонда;43:26
Рудниковское, Кировская область, Земли лесного фонда;43:27
Санчурское, Кировская область, Земли лесного фонда;43:28
Свечинское, Кировская область, Земли лесного фонда;43:29
Верхошижемское, Кировская область, Земли лесного фонда;43:3
Синегорское, Кировская область, Земли лесного фонда;43:30
Слободское, Кировская область, Земли лесного фонда;43:31
Сорвижское, Кировская область, Земли лесного фонда;43:32
Суводское, Кировская область, Земли лесного фонда;43:33
Унинское, Кировская область, Земли лесного фонда;43:34
Уржумское, Кировская область, Земли лесного фонда;43:35
Фаленское, Кировская область, Земли лесного фонда;43:36
Шабалинское, Кировская область, Земли лесного фонда;43:37
Юрьянское, Кировская область, Земли лесного фонда;43:38
Яранское, Кировская область, Земли лесного фонда;43:39
Вятско-Полянское, Кировская область, Земли лесного фонда;43:4
ГПЗ Нургуш, Кировская область, Земли особо охраняемых природных территорий;43:40
Арбажский район, Кировская область, Земли населенных пунктов;43:41
Афанасьевский район, Кировская область, Земли населенных пунктов;43:42
Белохолуницкий район, Кировская область, Земли населенных пунктов;43:43
Богородский район, Кировская область, Земли населенных пунктов;43:44
Верхнекамский район, Кировская область, Земли населенных пунктов;43:45
Верхошижемский район, Кировская область, Земли населенных пунктов;43:46
Вятскополянский район, Кировская область, Земли населенных пунктов;43:47
г.Киров, Кировская область, Земли населенных пунктов;43:48
Даровской район, Кировская область, Земли населенных пунктов;43:49
Даровское, Кировская область, Земли лесного фонда;43:5
Зуевский район, Кировская область, Земли населенных пунктов;43:50
Кикнурский район, Кировская область, Земли населенных пунктов;43:51
Кильмезский район, Кировская область, Земли населенных пунктов;43:52
Кирово-Чепецкий район, Кировская область, Земли населенных пунктов;43:53
Котельничский район, Кировская область, Земли населенных пунктов;43:54
Куменский район, Кировская область, Земли населенных пунктов;43:55
Лебяжский район, Кировская область, Земли населенных пунктов;43:56
Лузский район, Кировская область, Земли населенных пунктов;43:57
Малмыжский район, Кировская область, Земли населенных пунктов;43:58
Мурашинский район, Кировская область, Земли населенных пунктов;43:59
Дубровское, Кировская область, Земли лесного фонда;43:6
Нагорский район, Кировская область, Земли населенных пунктов;43:60
Немский район, Кировская область, Земли населенных пунктов;43:61
Нолинский район, Кировская область, Земли населенных пунктов;43:62
Омутнинский район, Кировская область, Земли населенных пунктов;43:63
Опаринский район, Кировская область, Земли населенных пунктов;43:64
Оричевский район, Кировская область, Земли населенных пунктов;43:65
Орловский район, Кировская область, Земли населенных пунктов;43:66
Пижанский район, Кировская область, Земли населенных пунктов;43:67
Подосиновский район, Кировская область, Земли населенных пунктов;43:68
Санчурский район, Кировская область, Земли населенных пунктов;43:69
Зуевское, Кировская область, Земли лесного фонда;43:7
Свечинский район, Кировская область, Земли населенных пунктов;43:70
Слободской район, Кировская область, Земли населенных пунктов;43:71
Советский район, Кировская область, Земли населенных пунктов;43:72
Сунский район, Кировская область, Земли населенных пунктов;43:73
Тужинский район, Кировская область, Земли населенных пунктов;43:74
Унинский район, Кировская область, Земли населенных пунктов;43:75
Уржумский район, Кировская область, Земли населенных пунктов;43:76
Фаленский район, Кировская область, Земли населенных пунктов;43:77
Шабалинский район, Кировская область, Земли населенных пунктов;43:78
Юрьянский район, Кировская область, Земли населенных пунктов;43:79
Кайское, Кировская область, Земли лесного фонда;43:8
Яранский район, Кировская область, Земли населенных пунктов;43:80
Кикнурское, Кировская область, Земли лесного фонда;43:9
Антроповское, Костромская область, Земли лесного фонда;44:1
Межевское, Костромская область, Земли лесного фонда;44:10
Нейское, Костромская область, Земли лесного фонда;44:11
Октябрьское, Костромская область, Земли лесного фонда;44:12
Островское, Костромская область, Земли лесного фонда;44:13
Павинское, Костромская область, Земли лесного фонда;44:14
Парфеньевское, Костромская область, Земли лесного фонда;44:15
Поназыревское, Костромская область, Земли лесного фонда;44:16
Пыщугское, Костромская область, Земли лесного фонда;44:17
Солигаличское, Костромская область, Земли лесного фонда;44:18
Судиславское, Костромская область, Земли лесного фонда;44:19
Буйское, Костромская область, Земли лесного фонда;44:2
Чухломское, Костромская область, Земли лесного фонда;44:20
Шарьинское, Костромская область, Земли лесного фонда;44:21
ГПЗ Кологривский лес, Костромская область, Земли особо охраняемых природных территорий;44:22
Антроповское АТО, Костромская область, Земли населенных пунктов;44:23
Буйское АТО, Костромская область, Земли населенных пунктов;44:24
Вохомское АТО, Костромская область, Земли населенных пунктов;44:25
г.Буй, Костромская область, Земли населенных пунктов;44:26
г.Волглреченск, Костромская область, Земли населенных пунктов;44:27
г.Галич, Костромская область, Земли населенных пунктов;44:28
г.Кострома, Костромская область, Земли населенных пунктов;44:29
Вохомское, Костромская область, Земли лесного фонда;44:3
г.Мантурово, Костромская область, Земли населенных пунктов;44:30
г.Шарья, Костромская область, Земли населенных пунктов;44:31
Галичское АТО, Костромская область, Земли населенных пунктов;44:32
Кадыйское АТО, Костромская область, Земли населенных пунктов;44:33
Кологривское АТО, Костромская область, Земли населенных пунктов;44:34
Костромское АТО, Костромская область, Земли населенных пунктов;44:35
Красносельское АТО, Костромская область, Земли населенных пунктов;44:36
Макарьевское АТО, Костромская область, Земли населенных пунктов;44:37
Мантуровское АТО, Костромская область, Земли населенных пунктов;44:38
Межевское АТО, Костромская область, Земли населенных пунктов;44:39
Галичское, Костромская область, Земли лесного фонда;44:4
Нейское АТО, Костромская область, Земли населенных пунктов;44:40
Нерехтское АТО, Костромская область, Земли населенных пунктов;44:41
Октябрьское АТО, Костромская область, Земли населенных пунктов;44:42
Островское АТО, Костромская область, Земли населенных пунктов;44:43
Павинское АТО, Костромская область, Земли населенных пунктов;44:44
Парфеньевское АТО, Костромская область, Земли населенных пунктов;44:45
Поназыревское АТО, Костромская область, Земли населенных пунктов;44:46
Пыщугское АТО, Костромская область, Земли населенных пунктов;44:47
Солигаличское АТО, Костромская область, Земли населенных пунктов;44:48
Судиславское АТО, Костромская область, Земли населенных пунктов;44:49
Кадыйское, Костромская область, Земли лесного фонда;44:5
Сусанинское АТО, Костромская область, Земли населенных пунктов;44:50
Чухломское АТО, Костромская область, Земли населенных пунктов;44:51
Шарьинское АТО, Костромская область, Земли населенных пунктов;44:52
Кологривское, Костромская область, Земли лесного фонда;44:6
Костромское, Костромская область, Земли лесного фонда;44:7
Макарьевское, Костромская область, Земли лесного фонда;44:8
Мантуровское, Костромская область, Земли лесного фонда;44:9
Белозерское, Курганская область, Земли лесного фонда;45:1
Шатровское, Курганская область, Земли лесного фонда;45:10
Шумихинское, Курганская область, Земли лесного фонда;45:11
Юргамышское, Курганская область, Земли лесного фонда;45:12
Альменевский, Курганская область, Земли населенных пунктов;45:13
Белозерский, Курганская область, Земли населенных пунктов;45:14
Варгашинский, Курганская область, Земли населенных пунктов;45:15
г.Далматово, Курганская область, Земли населенных пунктов;45:16
г.Катайск, Курганская область, Земли населенных пунктов;45:17
г.Курган, Курганская область, Земли населенных пунктов;45:18
г.Куртамыш, Курганская область, Земли населенных пунктов;45:19
Варгашинское, Курганская область, Земли лесного фонда;45:2
г.Шадринск, Курганская область, Земли населенных пунктов;45:20
г.Шумиха, Курганская область, Земли населенных пунктов;45:21
г.Щучье, Курганская область, Земли населенных пунктов;45:22
Далматовский, Курганская область, Земли населенных пунктов;45:23
Звериноголовский, Курганская область, Земли населенных пунктов;45:24
Каргапольский, Курганская область, Земли населенных пунктов;45:25
Катайский, Курганская область, Земли населенных пунктов;45:26
Кетовский, Курганская область, Земли населенных пунктов;45:27
Куртамышский, Курганская область, Земли населенных пунктов;45:28
Лебяжьевский, Курганская область, Земли населенных пунктов;45:29
Глядянское, Курганская область, Земли лесного фонда;45:3
Макушинский, Курганская область, Земли населенных пунктов;45:30
Мишкинский, Курганская область, Земли населенных пунктов;45:31
Мокроусовский, Курганская область, Земли населенных пунктов;45:32
Петуховский, Курганская область, Земли населенных пунктов;45:33
Половинский, Курганская область, Земли населенных пунктов;45:34
Притобольный, Курганская область, Земли населенных пунктов;45:35
Сафакулевский, Курганская область, Земли населенных пунктов;45:36
Целинный, Курганская область, Земли населенных пунктов;45:37
Частоозерский, Курганская область, Земли населенных пунктов;45:38
Шадринский, Курганская область, Земли населенных пунктов;45:39
Далматовское, Курганская область, Земли лесного фонда;45:4
Шатровский, Курганская область, Земли населенных пунктов;45:40
Шумихинский, Курганская область, Земли населенных пунктов;45:41
Щучанский, Курганская область, Земли населенных пунктов;45:42
Юргамышский, Курганская область, Земли населенных пунктов;45:43
Каргапольское, Курганская область, Земли лесного фонда;45:5
Курганское, Курганская область, Земли лесного фонда;45:6
Куртамышское, Курганская область, Земли лесного фонда;45:7
Петуховское, Курганская область, Земли лесного фонда;45:8
Шадринское, Курганская область, Земли лесного фонда;45:9
Горшеченское, Курская область, Земли лесного фонда;46:1
Солнцевское, Курская область, Земли лесного фонда;46:10
Суджанское, Курская область, Земли лесного фонда;46:11
Хомутовское, Курская область, Земли лесного фонда;46:12
Щигровское, Курская область, Земли лесного фонда;46:13
Центрально-черноземный ГПБЗ им. В.В. Алехина, Курская область, Земли особо охраняемых природных территорий;46:14
Беловский р-он, Курская область, Земли населенных пунктов;46:15
Большесолдатский р-он, Курская область, Земли населенных пунктов;46:16
г. Железногорск, Курская область, Земли населенных пунктов;46:17
г. Курск, Курская область, Земли населенных пунктов;46:18
г. Курчатов, Курская область, Земли населенных пунктов;46:19
Дмитриевское, Курская область, Земли лесного фонда;46:2
г. Льгов, Курская область, Земли населенных пунктов;46:20
г. Щигры, Курская область, Земли населенных пунктов;46:21
Глушковский р-он, Курская область, Земли населенных пунктов;46:22
Горшеченский р-он, Курская область, Земли населенных пунктов;46:23
Дмитриевский р-он, Курская область, Земли населенных пунктов;46:24
Железногорский р-он, Курская область, Земли населенных пунктов;46:25
Золотухинский р-он, Курская область, Земли населенных пунктов;46:26
Касторенский р-он, Курская область, Земли населенных пунктов;46:27
Конышевский р-он, Курская область, Земли населенных пунктов;46:28
Кореневский р-он, Курская область, Земли населенных пунктов;46:29
Железногорское, Курская область, Земли лесного фонда;46:3
Курский р-он, Курская область, Земли населенных пунктов;46:30
Курчатовский р-он, Курская область, Земли населенных пунктов;46:31
Льговский р-он, Курская область, Земли населенных пунктов;46:32
Мантуровский р-он, Курская область, Земли населенных пунктов;46:33
Медвенский р-он, Курская область, Земли населенных пунктов;46:34
Обоянский р-он, Курская область, Земли населенных пунктов;46:35
Октябрьский р-он, Курская область, Земли населенных пунктов;46:36
Поныровский р-он, Курская область, Земли населенных пунктов;46:37
Пристенский р-он, Курская область, Земли населенных пунктов;46:38
Рыльский р-он, Курская область, Земли населенных пунктов;46:39
Золотухинское, Курская область, Земли лесного фонда;46:4
Советский р-он, Курская область, Земли населенных пунктов;46:40
Солнцевский р-он, Курская область, Земли населенных пунктов;46:41
Суджанский р-он, Курская область, Земли населенных пунктов;46:42
Тимский р-он, Курская область, Земли населенных пунктов;46:43
Фатежский р-он, Курская область, Земли населенных пунктов;46:44
Хомутовский р-он, Курская область, Земли населенных пунктов;46:45
Черемисиновский р-он, Курская область, Земли населенных пунктов;46:46
Щигровский р-он, Курская область, Земли населенных пунктов;46:47
Курское, Курская область, Земли лесного фонда;46:5
Льговское, Курская область, Земли лесного фонда;46:6
Обоянское, Курская область, Земли лесного фонда;46:7
Рыльское, Курская область, Земли лесного фонда;46:8
Советское, Курская область, Земли лесного фонда;46:9
Бокситогорское, Ленинградская область, Земли лесного фонда;47:1
Ломоносовское, Ленинградская область, Земли лесного фонда;47:10
Лужское, Ленинградская область, Земли лесного фонда;47:11
Любанское, Ленинградская область, Земли лесного фонда;47:12
Подпорожское, Ленинградская область, Земли лесного фонда;47:13
Приозерское, Ленинградская область, Земли лесного фонда;47:14
Рощинское, Ленинградская область, Земли лесного фонда;47:15
Северо-Западное, Ленинградская область, Земли лесного фонда;47:16
Сланцевское, Ленинградская область, Земли лесного фонда;47:17
Тихвинское, Ленинградская область, Земли лесного фонда;47:18
Учебно-опытное, Ленинградская область, Земли лесного фонда;47:19
Волосовское, Ленинградская область, Земли лесного фонда;47:2
ГПЗ Нижне-Свирский, Ленинградская область, Земли особо охраняемых природных территорий;47:20
Бокситогорский муницип. р-он, Ленинградская область, Земли населенных пунктов;47:22
Волосовский муницип. р-он, Ленинградская область, Земли населенных пунктов;47:23
Волховский муницип. р-он, Ленинградская область, Земли населенных пунктов;47:24
Всеволожский муницип. р-он, Ленинградская область, Земли населенных пунктов;47:25
Выборгский муницип. р-он, Ленинградская область, Земли населенных пунктов;47:26
г. Санкт-петербург, Ленинградская область, Земли населенных пунктов;47:27
Гатчинский муницип. р-он, Ленинградская область, Земли населенных пунктов;47:28
Кингисеппский муницип. р-он, Ленинградская область, Земли населенных пунктов;47:29
Волховское , Ленинградская область, Земли лесного фонда;47:3
Киришский муницип. р-он, Ленинградская область, Земли населенных пунктов;47:30
Кировский муницип. р-он, Ленинградская область, Земли населенных пунктов;47:31
Ладожское и Онежское озера, Ленинградская область, Земли населенных пунктов;47:32
Лодейнопольский муницип. р-он, Ленинградская область, Земли населенных пунктов;47:33
Ломоносовский муницип. р-он, Ленинградская область, Земли населенных пунктов;47:34
Лужский муницип. р-он, Ленинградская область, Земли населенных пунктов;47:35
Подпорожский муницип. р-он, Ленинградская область, Земли населенных пунктов;47:36
Приозерский муницип. р-он, Ленинградская область, Земли населенных пунктов;47:37
Сланцевский муницип. р-он, Ленинградская область, Земли населенных пунктов;47:38
Сосновогорский гор.округ, Ленинградская область, Земли населенных пунктов;47:39
Всеволожское, Ленинградская область, Земли лесного фонда;47:4
Тихвинский муницип. р-он, Ленинградская область, Земли населенных пунктов;47:40
Тосненский муницип. р-он, Ленинградская область, Земли населенных пунктов;47:41
Гатчинское, Ленинградская область, Земли лесного фонда;47:5
Кингисеппское, Ленинградская область, Земли лесного фонда;47:6
Киришское, Ленинградская область, Земли лесного фонда;47:7
Кировское, Ленинградская область, Земли лесного фонда;47:8
Лодейнопольское, Ленинградская область, Земли лесного фонда;47:9
