annotation;enumeration_value
Яшкульское АТО, Республика Калмыкия, Земли населенных пунктов;08:20
Каспийское, Республика Калмыкия, Земли лесного фонда;08:3
Октябрьское, Республика Калмыкия, Земли лесного фонда;08:4
Элистинское, Республика Калмыкия, Земли лесного фонда;08:5
ГПБЗ Черные Земли, Республика Калмыкия, Земли особо охраняемых природных территорий;08:6
г.Элиста, Республика Калмыкия, Земли населенных пунктов;08:7
Городовиковское АТО, Республика Калмыкия, Земли населенных пунктов;08:8
Ики-Бурульское АТО, Республика Калмыкия, Земли населенных пунктов;08:9
Бескесское, Карачаево-Черкесская Республика, Земли лесного фонда;09:1
Карачаевский, Карачаево-Черкесская республика, Земли населенных пунктов;09:10
Малокарачаевский, Карачаево-Черкесская республика, Земли населенных пунктов;09:11
